<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191114,36.6,36.85,35.8,35.9,24275
21STCENMGM,20191114,13.7,13.95,13.7,13.95,1007
3IINFOTECH,20191114,1.95,1.95,1.9,1.9,629699
3MINDIA,20191114,22160,22464,22160,22269.55,1460
3PLAND,20191114,6.25,6.45,6.25,6.45,55
5PAISA,20191114,156.35,157.15,149,155.3,6849
63MOONS,20191114,114.05,117,113.1,113.7,122789
A2ZINFRA,20191114,10.15,10.15,9.8,9.8,246671
AARTIDRUGS,20191114,522,533,519.5,527.75,9945
AARTIIND,20191114,807.3,809.95,791.1,799,139999
AARVEEDEN,20191114,13.7,13.8,12.6,13.05,15192
AAVAS,20191114,1528,1615,1512,1596.15,54799
ABAN,20191114,28.5,28.9,27.6,28.1,35642
ABB,20191114,1495,1495,1465,1468.9,197909
ABBOTINDIA,20191114,11899,12293.1,11899,12043.25,32851
ABCAPITAL,20191114,83,83.85,79,80.25,2579465
ABFRL,20191114,211,211.9,204.75,208,702009
ABSLBANETF,20191114,324.9,324.9,324.9,324.9,5
ABSLNN50ET,20191114,286.7,286.7,283.95,283.95,138
ACC,20191114,1490,1508.6,1473.55,1486.9,737571
ACCELYA,20191114,970,1124.9,966.65,1099,42007
ACE,20191114,86.5,87.45,84,86.15,133715
ADANIENT,20191114,196.25,203.15,194.05,202.3,4141184
ADANIGAS,20191114,148.9,148.9,147.15,147.4,546430
ADANIGREEN,20191114,96.7,98.5,93.5,95.05,1611104
ADANIPORTS,20191114,371.9,374.1,365.85,369.1,2662084
ADANIPOWER,20191114,62,63.3,59.8,61.8,22541888
ADANITRANS,20191114,275,276.25,268.25,271.15,214175
ADFFOODS,20191114,298,301.9,287.5,298.2,69480
ADHUNIKIND,20191114,122.6,124.6,98,99.85,129124
ADLABS,20191114,3.6,3.6,3.6,3.6,78652
ADORWELD,20191114,342.85,342.85,319,322.05,7182
ADROITINFO,20191114,9.4,9.75,8.85,9.75,4533
ADSL,20191114,16.35,18.5,16.35,17.3,247336
ADVANIHOTR,20191114,57.9,57.95,56,56.5,1883
ADVENZYMES,20191114,172,173.45,165.45,166.35,70807
AEGISCHEM,20191114,165,184.35,165,179.2,649000
AFFLE,20191114,1665,1704.25,1585,1663.8,442580
AGARIND,20191114,113.45,117.5,111.95,114.2,23080
AGCNET,20191114,120,122.2,120,120.55,2471
AGRITECH,20191114,47.4,47.8,44.3,44.5,11716
AGROPHOS,20191114,122.2,122.6,122.15,122.2,326528
AHLEAST,20191114,182.05,183.65,174.25,178.25,2700
AHLUCONT,20191114,286,298.25,276,285.85,13258
AHLWEST,20191114,274.5,283.95,274.5,275,726
AIAENG,20191114,1698.2,1698.2,1639.95,1641.8,84255
AIONJSW,20191114,10,10.4,9.85,9.95,33180
AIRAN,20191114,10.2,11.1,10.2,10.9,40736
AJANTPHARM,20191114,982,989.75,971,975.55,42356
AJMERA,20191114,123.9,124.95,121.55,123.1,18296
AKASH,20191114,63,65.1,60,60.15,2282
AKSHARCHEM,20191114,201.45,202,194.85,197.95,9697
AKSHOPTFBR,20191114,6.85,7.05,6.75,6.8,239565
AKZOINDIA,20191114,1928,1940,1898.95,1930.15,14543
ALANKIT,20191114,15.3,15.6,14.9,15.6,63137
ALBERTDAVD,20191114,424,449.9,405.7,414.8,17316
ALBK,20191114,25.6,25.9,25.1,25.55,522584
ALCHEM,20191114,0.8,0.8,0.8,0.8,1
ALEMBICLTD,20191114,58,59.15,54.2,54.8,441604
ALICON,20191114,378.5,388,377.95,384,850
ALKALI,20191114,44.5,44.5,42.4,43,9355
ALKEM,20191114,2079.45,2080,2011,2021.25,91701
ALKYLAMINE,20191114,1008.95,1048.3,995,1019.55,18442
ALLCARGO,20191114,96.75,97,94.2,94.55,118063
ALLSEC,20191114,293.75,293.75,275.75,283.15,4153
ALMONDZ,20191114,9.05,9.85,9.05,9.25,2340
ALOKTEXT,20191114,1.95,1.95,1.95,1.95,322809
