<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191111,37.45,37.6,36.3,36.65,25870
21STCENMGM,20191111,14,14,14,14,5
3IINFOTECH,20191111,2,2,1.95,2,423913
3MINDIA,20191111,22403,22649.9,22030.65,22504.2,1572
3PLAND,20191111,6.3,6.3,6.3,6.3,34
5PAISA,20191111,165.9,168.7,162.05,163.8,15030
63MOONS,20191111,116.2,119,114.95,117.45,85190
A2ZINFRA,20191111,10.3,10.3,9.75,10.05,180479
AARTIDRUGS,20191111,526.95,531,510,512.7,12945
AARTIIND,20191111,812.3,820,807.4,815.9,167913
AARVEEDEN,20191111,14.1,14.1,13.55,13.8,2900
AAVAS,20191111,1563.5,1564,1505.55,1540.45,19868
ABAN,20191111,30,31,29.5,30.25,31255
ABB,20191111,1460,1469,1445.7,1457.35,43896
ABBOTINDIA,20191111,11500,11775,11350,11698.85,11988
ABCAPITAL,20191111,87.35,88.4,85.15,86.9,2390106
ABFRL,20191111,205.1,206.9,200.35,201.25,250141
ABMINTLTD,20191111,14.1,14.1,14.1,14.1,20
ABSLBANETF,20191111,308,311,308,311,36
ABSLNN50ET,20191111,286.01,286.01,286.01,286.01,2
ACC,20191111,1501.9,1518,1490,1504.45,648957
ACCELYA,20191111,964,981,952.95,976.85,6140
ACE,20191111,84.2,86.95,84.05,86.1,54120
ADANIENT,20191111,206.95,212.25,206.05,210.85,2907157
ADANIGAS,20191111,147.3,148.5,146.6,148,616045
ADANIGREEN,20191111,86.8,95.25,85.2,93.85,4135563
ADANIPORTS,20191111,386.15,389.15,382.5,387.9,2300763
ADANIPOWER,20191111,68.45,68.5,66.6,67.3,7633861
ADANITRANS,20191111,278.25,284.65,277.7,279.4,198560
ADFFOODS,20191111,299.9,308,295.65,300.75,45366
ADHUNIKIND,20191111,115.3,116.9,110,115.65,59508
ADLABS,20191111,3.3,3.3,3.3,3.3,8506
ADORWELD,20191111,312.4,319.2,312,316.05,1154
ADROITINFO,20191111,8.35,9.15,8.35,9,1076
ADSL,20191111,15.05,16.45,14.6,15.55,115101
ADVANIHOTR,20191111,57.1,57.85,56.1,57.2,1294
ADVENZYMES,20191111,178.65,180.8,178,178.05,120252
AEGISCHEM,20191111,164.35,167.95,163,164.4,369053
AFFLE,20191111,1530,1530,1405,1482.75,748480
AGARIND,20191111,124,124.9,115.05,116.15,1534
AGCNET,20191111,120,125.9,117,124.6,3981
AGRITECH,20191111,46.35,47,44.1,45.75,5327
AGROPHOS,20191111,121,122,121,121.8,619135
AHLEAST,20191111,179,190.8,178,181.2,212
AHLUCONT,20191111,295,298.65,295,295.85,2134
AHLWEST,20191111,275,293.05,268.8,284,528
AIAENG,20191111,1682.2,1730,1665.2,1718,14257
AIONJSW,20191111,10,11.4,9.8,10.05,111874
AIRAN,20191111,11.65,11.65,10.8,11.1,32571
AJANTPHARM,20191111,985.05,1000,980.05,987.2,62272
AJMERA,20191111,129.7,129.7,125,125.45,39781
AKASH,20191111,63.2,64,61.5,64,2010
AKSHARCHEM,20191111,210.4,225,210.4,223.1,3489
AKSHOPTFBR,20191111,7.5,7.5,7.15,7.15,193178
AKZOINDIA,20191111,2088.1,2088.1,1958,1969.15,50404
ALANKIT,20191111,14.55,14.9,14.15,14.2,36559
ALBERTDAVD,20191111,402,413.5,402,405.45,2714
ALBK,20191111,25.3,26.5,25,25.95,1042575
ALCHEM,20191111,0.85,0.85,0.85,0.85,321
ALEMBICLTD,20191111,50.2,52.75,48.75,51.5,353528
ALICON,20191111,380,393.95,380,383.65,870
ALKALI,20191111,47.05,47.05,43,44.15,85345
ALKEM,20191111,2025.9,2068.75,1940.8,1972,161949
ALKYLAMINE,20191111,1021,1044.9,1012.95,1039.65,37395
ALLCARGO,20191111,98,99.45,95.15,97.55,223350
ALLSEC,20191111,285.05,287.95,276.1,282.2,1860
ALMONDZ,20191111,9.6,9.6,9.6,9.6,47
ALOKTEXT,20191111,1.85,1.85,1.85,1.85,320654
ALPA,20191111,17.5,18.2,17.15,18,29043
ALPHAGEO,20191111,185.25,191.9,184.95,186.15,9895
ALPSINDUS,20191111,0.55,0.6,0.55,0.6,11019
AMARAJABAT,20191111,678,729.75,670.1,717.4,5554593
AMBER,20191111,982,1017,982,998.8,47134
AMBIKCO,20191111,865.05,900,865.05,889.6,3933
AMBUJACEM,20191111,200,201.95,198.75,200.15,1436622
AMDIND,20191111,19,21.95,19,21.5,51051
AMJLAND,20191111,19,19.75,18.1,18.6,19012
AMRUTANJAN,20191111,491.9,522,488.4,513.15,88488
ANANTRAJ,20191111,33.35,33.35,33,33.05,79628
ANDHRABANK,20191111,18.1,18.2,17.8,17.9,534843
ANDHRACEMT,20191111,2.8,2.9,2.7,2.9,66805
ANDHRSUGAR,20191111,290.75,304,290,300.5,52396
ANIKINDS,20191111,9.45,9.85,9,9.45,1073
ANKITMETAL,20191111,0.45,0.55,0.45,0.5,25579
ANSALAPI,20191111,5.8,5.8,5.55,5.8,282626
ANSALHSG,20191111,9.05,9.15,8.5,9.15,563689
ANTGRAPHIC,20191111,0.7,0.7,0.65,0.65,16484
ANUP,20191111,512.8,534.4,500.35,508.7,18039
APARINDS,20191111,558,558,507,507.55,8170
APCL,20191111,159.95,166.7,158,158.65,12199
APCOTEXIND,20191111,171.5,171.5,165,165.65,7985
APEX,20191111,315,331.7,302.3,316.9,792404
APLAPOLLO,20191111,1450,1450,1420.95,1423.7,63892
APLLTD,20191111,580.4,582,572.5,574.25,42804
APOLLO,20191111,84.7,86.9,83.5,84.5,41049
APOLLOHOSP,20191111,1425,1445,1414.15,1419,475250
APOLLOPIPE,20191111,394.95,394.95,360.05,376.25,2459
APOLLOTYRE,20191111,165,168.2,163.65,166.25,1908437
APOLSINHOT,20191111,807,844,786.05,805.6,1381
APTECHT,20191111,171.8,174.5,170,171.1,118578
ARCHIDPLY,20191111,28.6,29.85,27.65,27.95,10571
ARCHIES,20191111,19,19.7,19,19.35,18972
ARCOTECH,20191111,2.2,2.2,2.2,2.2,3343
ARIES,20191111,64.4,65.05,63.15,63.7,13149
ARIHANT,20191111,29.95,30.5,28.25,30.5,73884
ARIHANTSUP,20191111,27.15,27.75,26.15,27.05,487
ARMANFIN,20191111,577,577,542.1,546.1,2138
AROGRANITE,20191111,39.65,40.9,39.5,39.55,1990
ARROWGREEN,20191111,53.15,54.75,51,51.85,1716
ARROWTEX,20191111,13.5,13.5,12.1,12.5,16982
ARSHIYA,20191111,18.75,18.8,17.55,18.25,42468
ARSSINFRA,20191111,25.8,25.8,24.2,24.55,2878
ARVIND,20191111,52,52.95,51.25,52,1060148
ARVINDFASN,20191111,419,425.95,410,412.8,14323
ARVSMART,20191111,100.05,101,98.2,99.2,4171
ASAHIINDIA,20191111,196.55,200.05,192,195.15,338748
ASAHISONG,20191111,154.9,154.9,147,148.25,3528
ASAL,20191111,32.1,33.5,31.8,32.3,2988
ASHAPURMIN,20191111,27,28.9,27,27.6,7108
ASHIANA,20191111,100.85,106,98.5,104.2,43216
ASHIMASYN,20191111,7.85,7.95,7.45,7.5,22904
ASHOKA,20191111,97.45,97.45,94.35,95,149937
ASHOKLEY,20191111,71,79.95,71,79.2,74700629
ASIANHOTNR,20191111,104.9,104.9,98.2,100,1627
ASIANPAINT,20191111,1789.95,1793.95,1768,1773.95,860384
ASIANTILES,20191111,225.2,228.95,222.35,225.1,31115
ASPINWALL,20191111,144,148.7,144,148.3,1157
ASTEC,20191111,354.5,361.9,350.1,355.35,8065
ASTERDM,20191111,143.1,149.7,142.65,145.05,80543
ASTRAL,20191111,1090.05,1125,1090.05,1104.85,213826
ASTRAMICRO,20191111,75.6,80.8,75.6,80.4,556128
ASTRAZEN,20191111,2510,2688.85,2450,2541.8,123190
ASTRON,20191111,37.05,39.75,37.05,37.05,1118767
ATFL,20191111,624.2,624.25,600.5,604.85,6223
ATLANTA,20191111,6.85,7.35,6.65,7.15,17448
ATNINTER,20191111,0.25,0.25,0.25,0.25,1631
