<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191030,37,38.45,36.4,37.6,79468
21STCENMGM,20191030,13.1,13.1,13,13,21
3IINFOTECH,20191030,2.1,2.1,2,2,672511
3MINDIA,20191030,22400,22824.95,22055,22281.2,4885
3PLAND,20191030,6.5,6.5,6.2,6.2,175
5PAISA,20191030,174.45,175.95,172.5,174.7,4149
63MOONS,20191030,123.05,127.1,121.6,122.2,156137
A2ZINFRA,20191030,9,9.05,8.6,8.65,576283
AARTIDRUGS,20191030,522,541.45,520,538.05,15781
AARTIIND,20191030,870.1,879.7,844,870.35,98961
AARVEEDEN,20191030,14.75,14.75,13.6,14.45,8234
AAVAS,20191030,1612,1631.65,1585.15,1594.9,24658
ABAN,20191030,26,26.2,25.15,25.55,28056
ABB,20191030,1482.8,1482.8,1441.65,1448.15,120399
ABBOTINDIA,20191030,11900,12051.45,11900,11922.5,22409
ABCAPITAL,20191030,80,81.6,79.5,79.9,2696635
ABFRL,20191030,206.75,214.35,206,211.65,413600
ABSLBANETF,20191030,330,330,330,330,1
ABSLNN50ET,20191030,286.01,290,286.01,289.34,27
ACC,20191030,1532.1,1572,1521.2,1532.25,920215
ACCELYA,20191030,933,947.55,913.7,939.9,9076
ACE,20191030,82.25,82.9,80.7,82.15,130802
ADANIENT,20191030,194.35,197.45,192.3,195.75,4791525
ADANIGAS,20191030,148.5,150.4,146.6,146.9,1306351
ADANIGREEN,20191030,89.6,92,89.5,89.9,1188364
ADANIPORTS,20191030,399.2,405,395.5,398.1,5590453
ADANIPOWER,20191030,66.25,66.65,65.5,66.05,4433796
ADANITRANS,20191030,265,268.8,261.05,264.6,211276
ADFFOODS,20191030,276.5,282,275.5,279.95,11419
ADHUNIKIND,20191030,118.95,121.6,117.15,120.75,50241
ADLABS,20191030,2.4,2.4,2.4,2.4,341599
ADORWELD,20191030,312,315,307,314.25,6566
ADROITINFO,20191030,7.05,7.25,6.7,7.25,202058
ADSL,20191030,13.35,13.9,13.1,13.25,36511
ADVANIHOTR,20191030,57.25,58.2,56.25,57.05,826
ADVENZYMES,20191030,173,194.95,173,185,601675
AEGISCHEM,20191030,177,177,170.25,171.05,87672
AFFLE,20191030,1440.1,1454.9,1421,1428,48795
AGARIND,20191030,120.85,124.9,119.05,119.65,12798
AGCNET,20191030,112,116.95,112,112.05,1096
AGRITECH,20191030,48.65,49.85,46.3,47.45,8674
AGROPHOS,20191030,116.2,116.4,115.95,116,307534
AHLEAST,20191030,184,186,179.2,184.05,583
