<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191121,35.2,35.2,33.05,34,37922
21STCENMGM,20191121,13.85,13.85,13.85,13.85,1
3IINFOTECH,20191121,1.95,2,1.9,1.95,662512
3MINDIA,20191121,22375,22730,22335.55,22598.55,2121
3PLAND,20191121,6.5,6.5,6.2,6.2,620
5PAISA,20191121,154.1,154.1,150,151.85,6660
63MOONS,20191121,100.4,112.05,100.4,109.5,196806
A2ZINFRA,20191121,9,9.05,8.9,8.9,216618
AARTIDRUGS,20191121,524,528,520.55,524.45,7861
AARTIIND,20191121,851,854.65,835.15,843.5,116576
AARVEEDEN,20191121,13.25,13.25,12.45,12.7,4355
AAVAS,20191121,1725.05,1748.8,1680,1696.65,314628
ABAN,20191121,28.95,28.95,27.25,27.6,17594
ABB,20191121,1450,1458.4,1436,1439.2,32816
ABBOTINDIA,20191121,12635,12749.95,12351.6,12392.3,7168
ABCAPITAL,20191121,86.5,99.75,85.35,95.75,22362426
ABFRL,20191121,216.05,216.95,209,210.05,703817
ABSLBANETF,20191121,315.75,315.75,315.75,315.75,10
ACC,20191121,1487,1495,1471,1473.35,431807
ACCELYA,20191121,980,1010,961.1,964.7,26435
ACE,20191121,80.25,82.5,79.4,79.7,66530
ADANIENT,20191121,206.9,209,201.95,205.5,4409698
ADANIGAS,20191121,146.6,147.4,146.15,146.3,437965
ADANIGREEN,20191121,98.65,99.2,96.3,97,855172
ADANIPORTS,20191121,368,376.25,368,372.1,6556285
ADANIPOWER,20191121,60.4,63.4,60,61.5,14897583
ADANITRANS,20191121,268.7,271.45,256.45,263.45,146497
ADFFOODS,20191121,295.35,302,290.25,292.55,36447
ADHUNIKIND,20191121,108,118,107.8,112.8,103463
ADLABS,20191121,3,3.3,3,3.3,54816
ADORWELD,20191121,309.2,314.9,305.2,306.1,5656
ADROITINFO,20191121,9.5,9.5,9,9.5,23
ADSL,20191121,16.3,16.75,15.3,16.5,107088
ADVANIHOTR,20191121,55.5,56.25,55,55.4,2281
ADVENZYMES,20191121,179,183.4,173.95,175.05,138684
AEGISCHEM,20191121,180.3,187.7,178.75,184.7,1490395
AFFLE,20191121,1633.75,1727.9,1622.6,1689.55,331751
AGARIND,20191121,109.85,109.9,104.95,105.2,872
AGCNET,20191121,123,125,123,123.05,810
AGRITECH,20191121,43.25,43.25,41.05,42,14478
AGROPHOS,20191121,126.4,127.4,126.4,127.15,655056
AHLEAST,20191121,182.9,182.9,172.5,173.8,1709
AHLUCONT,20191121,276.8,282.75,272.5,273.1,3322
AHLWEST,20191121,310,329.9,297.25,319.65,7999
AIAENG,20191121,1640,1654.95,1626.2,1632.3,20013
AIONJSW,20191121,10.1,10.2,9.95,10,74473
AIRAN,20191121,11.8,11.8,10.75,10.95,25639
AJANTPHARM,20191121,1015,1024.9,988.4,1007.7,158468
AJMERA,20191121,118.7,123.75,118.7,120.55,37916
AKASH,20191121,64.55,65,61.5,61.5,3570
AKSHARCHEM,20191121,207,207.05,197.05,199.6,2259
AKSHOPTFBR,20191121,6.3,6.5,6.1,6.5,325896
AKZOINDIA,20191121,1940,1967.2,1931.3,1951.35,16478
ALANKIT,20191121,15.25,16,14.6,14.8,43912
ALBERTDAVD,20191121,414.95,414.95,397,402.1,7275
ALBK,20191121,25.05,25.25,24.1,24.25,3986097
ALCHEM,20191121,0.95,0.95,0.9,0.9,28980
ALEMBICLTD,20191121,53.15,53.3,51.4,51.55,124483
ALICON,20191121,373.15,384.5,366,370.1,1071
ALKALI,20191121,40.9,41.8,40,41.25,5396
ALKEM,20191121,2085,2100,2055.4,2091,40278
ALKYLAMINE,20191121,1006,1028,1006,1016.45,5160
ALLCARGO,20191121,94.55,96.85,93.3,95.45,116101
ALLSEC,20191121,276.5,283.75,276.5,279.25,1522
ALMONDZ,20191121,9.15,9.8,9,9.2,761
ALOKTEXT,20191121,2.4,2.4,2.2,2.4,22992343
ALPA,20191121,16.4,16.95,15.7,15.8,9980
ALPHAGEO,20191121,157,159.9,156.5,157,6230
ALPSINDUS,20191121,0.9,0.9,0.9,0.9,3223
AMARAJABAT,20191121,750,750,737.15,745.7,511265
AMBER,20191121,987,1005.35,985,988.75,9646
AMBIKCO,20191121,865.55,880.1,861.35,865.45,2817
AMBUJACEM,20191121,201.6,202.2,200.3,201.05,1272618
AMDIND,20191121,15.4,16.25,15.05,15.6,6284
AMJLAND,20191121,19.3,19.7,18.7,18.9,5366
AMRUTANJAN,20191121,449,453.9,441.7,447.95,43539
ANANTRAJ,20191121,33.8,35.3,33.8,34.35,232672
ANDHRABANK,20191121,19.5,19.85,18.7,19,1315825
ANDHRACEMT,20191121,2.5,2.6,2.5,2.5,47972
ANDHRSUGAR,20191121,292.3,293.9,289,289.15,6617
ANIKINDS,20191121,8.25,8.6,8.25,8.6,4695
ANKITMETAL,20191121,0.8,0.8,0.75,0.8,39902
ANSALAPI,20191121,5.05,5.1,4.85,4.95,107209
ANSALHSG,20191121,6.3,6.3,6.3,6.3,28241
ANTGRAPHIC,20191121,0.55,0.6,0.55,0.6,27072
ANUP,20191121,474.9,474.9,445.1,456.65,19206
APARINDS,20191121,440.65,489,440.65,466.05,25905
APCL,20191121,148.1,151.6,143.15,145.8,2858
APCOTEXIND,20191121,163.25,171.95,163,163.6,33016
APEX,20191121,294,303,291,292.15,130985
APLAPOLLO,20191121,1525,1569.9,1525,1551.5,17138
APLLTD,20191121,545,559,543.2,547.8,183394
APOLLO,20191121,72,75.8,72,72.55,80973
APOLLOHOSP,20191121,1428,1462.95,1425,1455.45,1123652
APOLLOPIPE,20191121,358,365.45,356.05,358.6,2041
APOLLOTYRE,20191121,167.6,169.5,164.8,165.45,1679699
APOLSINHOT,20191121,725.2,725.2,641.1,699.55,6603
APTECHT,20191121,163.05,165.55,159.25,160.05,114866
ARCHIDPLY,20191121,26.15,26.4,25.25,25.5,12251
ARCHIES,20191121,19.6,19.6,19.15,19.2,21473
ARCOTECH,20191121,2.9,2.9,2.9,2.9,29073
ARENTERP,20191121,9.3,9.3,9.3,9.3,100
ARIES,20191121,65.2,67.05,65.2,66.75,21685
ARIHANT,20191121,23.65,24.4,23.35,23.75,5607
ARIHANTSUP,20191121,25.55,26.4,24.6,25.05,218
ARMANFIN,20191121,545,559.95,534.05,538.3,3056
AROGRANITE,20191121,36.25,38.95,36.25,37.15,5103
ARROWGREEN,20191121,54.2,54.2,50.8,52,5061
ARROWTEX,20191121,9.55,11.35,9.3,9.55,8560
ARSHIYA,20191121,15.35,16.6,15.35,16,31233
ARSSINFRA,20191121,24.8,24.85,22.65,22.75,28026
ARVIND,20191121,49,49.7,47.8,48.35,964024
ARVINDFASN,20191121,352.2,375.6,352.2,365.8,194540
ARVSMART,20191121,89,89.6,87.3,88.15,5817
ASAHIINDIA,20191121,199,201.95,198.85,199.95,42787
ASAHISONG,20191121,148.8,148.8,142.2,142.4,1054
ASAL,20191121,31.95,33,31.25,31.4,9324
ASHAPURMIN,20191121,25,26.2,24.4,24.4,14421
ASHIANA,20191121,97,97.55,95.15,95.55,29785
ASHIMASYN,20191121,7.1,7.2,6.75,6.8,35799
ASHOKA,20191121,100,102.4,93.5,93.95,1844176
