<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191023,37.1,37.9,37,37.05,13018
21STCENMGM,20191023,12.9,13.15,12.9,12.9,441
3IINFOTECH,20191023,2.1,2.2,2.05,2.05,815008
3MINDIA,20191023,22150,22150,21540,21634.35,3135
3PLAND,20191023,6.35,6.4,6.35,6.4,200
5PAISA,20191023,173.2,174.7,166,167.35,27180
63MOONS,20191023,115.9,126.55,115,123.25,771515
A2ZINFRA,20191023,9.95,9.95,9,9.15,564716
AARTIDRUGS,20191023,475.95,513.8,475.95,491.35,32003
AARTIIND,20191023,828,854.85,823.15,840.95,140326
AARVEEDEN,20191023,16,16,14,14.6,849
AAVAS,20191023,1660,1685,1643.95,1653.35,11396
ABAN,20191023,24.5,25.85,24.5,24.9,30020
ABB,20191023,1540,1568.85,1530,1536.55,31500
ABBOTINDIA,20191023,10775,10974,10699.85,10914.25,15502
ABCAPITAL,20191023,83.2,85.9,81.85,82.65,2346870
ABFRL,20191023,206.7,210.5,204.2,205.3,138197
ABMINTLTD,20191023,14.1,14.1,14.1,14.1,2
ABSLNN50ET,20191023,281.49,283.26,281.49,283.26,26
ACC,20191023,1537.9,1549.45,1521,1526.2,551466
ACCELYA,20191023,832.65,845,830,841.15,1940
ACE,20191023,80.3,81.25,79.5,80.9,126940
ADANIENT,20191023,178.75,178.75,172.4,176.45,4743985
ADANIGAS,20191023,149.1,149.55,146.75,147.05,583127
ADANIGREEN,20191023,86.55,89.8,85,86.65,1917829
ADANIPORTS,20191023,418,419,395,396.1,6752056
ADANIPOWER,20191023,63.25,63.7,61.8,62.55,5230738
ADANITRANS,20191023,255.8,272.4,255.75,262.3,1054524
ADFFOODS,20191023,257.7,258.9,253.45,254.5,18072
ADHUNIKIND,20191023,114.5,123.8,113.9,115.65,77259
ADLABS,20191023,1.9,1.95,1.85,1.95,165771
ADORWELD,20191023,313.85,332.2,298.8,323.35,17953
ADROITINFO,20191023,6.25,6.85,6.25,6.75,1091
ADSL,20191023,14.35,14.35,13.25,13.35,47697
ADVANIHOTR,20191023,55.1,55.2,53,55.15,7619
ADVENZYMES,20191023,159,160.75,156.75,158.6,39424
AEGISCHEM,20191023,180,180,174,176.35,203787
AFFLE,20191023,1245,1460,1233.6,1397.5,781328
AGARIND,20191023,110.1,118,108,116.8,21345
AGCNET,20191023,110.55,117.55,110.55,113.15,1037
AGLSL,20191023,54.95,54.95,47.2,49.45,5489
AGRITECH,20191023,44.15,49.45,44.15,48.2,35599
AGROPHOS,20191023,112,113.15,111.8,112.7,620957
AHLEAST,20191023,186.5,186.5,176.05,176.55,1846
AHLUCONT,20191023,288,289.9,282.45,288.25,2372
AHLWEST,20191023,288,288,260.25,276.9,2494
AIAENG,20191023,1730.05,1774,1710,1750.25,11875
AIONJSW,20191023,9.85,10.3,9.85,10,73909
AIRAN,20191023,13.8,13.8,12.75,12.75,7541
AJANTPHARM,20191023,1009.95,1017.9,1000,1006,28860
AJMERA,20191023,117.2,120,114.85,115.9,33735
AKASH,20191023,59.5,60.05,57,57,2044
AKSHARCHEM,20191023,208.05,228.65,208,211.05,3258
AKSHOPTFBR,20191023,6.9,7.05,6.7,6.8,185725
AKZOINDIA,20191023,2049.7,2061.95,2002.5,2013.55,18330
ALANKIT,20191023,18.95,19.35,18.75,18.85,263296
ALBERTDAVD,20191023,343.95,364.65,343.95,351.4,5121
ALBK,20191023,26.05,26.65,25.65,26.05,639440
ALCHEM,20191023,0.8,0.85,0.8,0.8,1894
ALEMBICLTD,20191023,48.55,50.25,47.8,49,133406
ALICON,20191023,389.45,389.5,375,378.95,1709
ALKALI,20191023,45.05,47.7,42.6,44.7,33255
ALKEM,20191023,1974.8,1980,1955,1966.85,11472
ALKYLAMINE,20191023,895.5,916.45,888.05,912.5,11265
ALLCARGO,20191023,99,100.8,98.55,99.35,89288
ALLSEC,20191023,273,305,273,298.6,9433
ALMONDZ,20191023,9,9.65,9,9.65,543
ALOKTEXT,20191023,1.65,1.65,1.55,1.55,2740643
ALPA,20191023,14.95,15,14.05,14.4,8470
ALPHAGEO,20191023,181.15,189,181.15,183.55,6329
ALPSINDUS,20191023,0.4,0.45,0.35,0.4,16956
AMARAJABAT,20191023,676.8,679.25,655.5,662.05,351850
AMBER,20191023,944,972,932.65,949.6,39637
AMBIKCO,20191023,913.65,923.75,900,904.5,2551
AMBUJACEM,20191023,196,197.8,193.1,196.8,2890392
AMDIND,20191023,15.15,16,15,15.05,6138
AMJLAND,20191023,18.5,18.8,17.55,18.45,1742
AMRUTANJAN,20191023,386.4,398.4,372.65,388.35,79013
ANANTRAJ,20191023,29.6,31.4,29.6,31.1,205727
ANDHRABANK,20191023,16.6,16.65,16,16.4,426179
ANDHRACEMT,20191023,2.6,2.6,2.5,2.5,9648
ANDHRSUGAR,20191023,269.2,274.95,267.05,269.3,25301
ANIKINDS,20191023,6.1,6.1,6.1,6.1,2820
ANKITMETAL,20191023,0.4,0.45,0.4,0.4,1105
ANSALAPI,20191023,4.25,4.25,4.05,4.2,36266
ANSALHSG,20191023,4.5,4.55,4.25,4.5,29673
ANTGRAPHIC,20191023,0.75,0.75,0.7,0.75,17719
ANUP,20191023,457.55,468,457.05,464.4,8172
APARINDS,20191023,500,518,500,514.55,1866
APCL,20191023,142.1,144.95,141.4,143.75,1375
APCOTEXIND,20191023,181.2,182.2,178,179.05,21120
APEX,20191023,250.7,251.65,236,243.05,106474
APLAPOLLO,20191023,1380,1430,1366.2,1413.3,18050
APLLTD,20191023,538,545,530.1,536.8,16014
APOLLO,20191023,69.25,69.9,68.25,69,28816
APOLLOHOSP,20191023,1520,1530.85,1510,1513.75,193859
APOLLOTYRE,20191023,185.15,185.65,181.4,183.55,2078362
APOLSINHOT,20191023,795,795,758.25,785.9,1753
APTECHT,20191023,165.9,181.9,164.4,178.4,874974
ARCHIDPLY,20191023,26.4,27.8,26.1,27.4,8849
ARCHIES,20191023,18.8,18.8,18,18.35,12718
