<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191107,39.1,39.75,38.6,39.05,66392
21STCENMGM,20191107,14,14,13.5,14,847
3IINFOTECH,20191107,2,2.05,1.95,2,1024879
3MINDIA,20191107,22600,22600,22300,22463.45,648
3PLAND,20191107,6.25,6.3,6.25,6.3,2
5PAISA,20191107,165,172.95,163,167.35,6854
63MOONS,20191107,119.45,120.45,117.75,118.2,66815
A2ZINFRA,20191107,10.1,10.1,9.55,9.7,201180
AARTIDRUGS,20191107,507.2,527,502.2,523.1,21649
AARTIIND,20191107,823,834,805,819.55,150177
AARVEEDEN,20191107,14.5,14.5,13.7,13.75,9057
AAVAS,20191107,1498.8,1565,1498,1545.2,44710
ABAN,20191107,33.95,33.95,30.75,32.2,130814
ABB,20191107,1465,1493,1457.05,1482.75,53442
ABBOTINDIA,20191107,11515,11760,11510,11695.25,5421
ABCAPITAL,20191107,83.6,85.5,83.6,84.7,4586782
ABFRL,20191107,206.6,206.6,196.55,202.5,722566
ABSLBANETF,20191107,307,315,306.6,308,85
ABSLNN50ET,20191107,297.4,297.4,287.57,287.57,20
ACC,20191107,1527,1546.15,1520,1527.15,824638
ACCELYA,20191107,951.15,960,940,955.5,2819
ACE,20191107,84.75,90.8,82,88.4,288028
ADANIENT,20191107,207.9,210.4,205.5,209.15,3959490
ADANIGAS,20191107,147.95,148.7,147.1,147.35,385595
ADANIGREEN,20191107,90.4,91.2,88.3,88.7,911495
ADANIPORTS,20191107,390.5,392,388.05,390.45,1615593
ADANIPOWER,20191107,71.3,71.5,70.25,70.55,5564428
ADANITRANS,20191107,283.8,303.7,283.2,298.55,1901839
ADFFOODS,20191107,313.8,313.8,304.3,308.35,37902
ADHUNIKIND,20191107,119.45,119.9,117.75,118.2,31841
ADLABS,20191107,3,3,3,3,2632
ADORWELD,20191107,315.05,319.6,310.2,315.5,1756
ADROITINFO,20191107,8.4,8.45,8,8.45,668
ADSL,20191107,14.9,15.2,14.3,15.05,24487
ADVANIHOTR,20191107,56.95,58.8,56.95,58.15,3255
ADVENZYMES,20191107,177.05,183.9,172.85,178.6,137701
AEGISCHEM,20191107,167.5,169.5,166.25,168.05,103663
AFFLE,20191107,1385,1393,1340,1356.35,63054
AGARIND,20191107,122.9,122.9,115.1,116.9,5574
AGCNET,20191107,111.65,116.9,111.65,116.8,4288
AGRITECH,20191107,47.2,47.95,46.5,46.65,5069
AGROPHOS,20191107,119.05,119.95,119.05,119.15,576808
AHLEAST,20191107,183.95,195.9,179.1,184.8,992
AHLUCONT,20191107,319.8,319.8,295,299.7,26280
AHLWEST,20191107,272,273.2,265,271.95,945
AIAENG,20191107,1690.9,1717.9,1679.95,1692.7,18570
AIONJSW,20191107,10.1,10.1,9.9,10,129354
AIRAN,20191107,12,12.25,11.4,11.55,2333292
AJANTPHARM,20191107,1012,1018.8,985,991.3,98143
AJMERA,20191107,141.9,141.9,135.2,136.3,257102
AKASH,20191107,62.5,64,61,62.5,2305
AKSHARCHEM,20191107,215.15,217.4,212,215,2746
AKSHOPTFBR,20191107,7.75,7.8,7.5,7.55,173849
AKZOINDIA,20191107,2225,2247.95,2175.1,2186.2,9782
ALANKIT,20191107,15.8,16.95,15.6,15.6,66805
ALBERTDAVD,20191107,405.8,408,403,403.95,1321
ALBK,20191107,26.8,27.15,26.8,27,517167
ALCHEM,20191107,0.85,0.85,0.85,0.85,214
