<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191014,38,39.5,37.85,38.05,35859
3IINFOTECH,20191014,2.1,2.1,2,2,469339
3MINDIA,20191014,19991,20139.95,19800,19930.5,1889
5PAISA,20191014,163,175.5,163,175.5,5411
63MOONS,20191014,114.35,120.55,111.9,116.8,133209
A2ZINFRA,20191014,9.4,10.1,9.2,9.8,258024
AARTIDRUGS,20191014,460.7,461.45,454.95,457.75,4424
AARTIIND,20191014,774.55,783.2,757,770.85,168979
AARVEEDEN,20191014,16.35,16.35,14.15,14.5,4111
AAVAS,20191014,1651,1734,1625.95,1696.7,26479
ABAN,20191014,26.05,26.95,25.5,25.8,24233
ABB,20191014,1481,1504.4,1467,1478.4,125336
ABBOTINDIA,20191014,11047.95,11056.55,10916.55,10999.6,17369
ABCAPITAL,20191014,79,79.6,77.55,77.85,1434060
ABFRL,20191014,208,208,203.4,205.05,123386
ABSLNN50ET,20191014,270.49,270.49,270.49,270.49,7
ACC,20191014,1448,1484.7,1445,1469.35,757992
ACCELYA,20191014,847.95,847.95,808,819.5,2566
ACE,20191014,78,78.9,77.1,77.7,68136
ADANIENT,20191014,137.9,152.4,137,147.1,10795909
ADANIGAS,20191014,163,163,148.8,150.75,7049507
ADANIGREEN,20191014,79.45,81.25,72.2,79.15,5291524
ADANIPORTS,20191014,410.9,413,404.8,407.45,3313476
ADANIPOWER,20191014,62.6,63.75,62.05,62.3,7633987
ADANITRANS,20191014,220.05,233.9,220.05,225.05,116243
ADFFOODS,20191014,254.55,264.5,254.5,262.3,13163
ADHUNIKIND,20191014,112.9,117,112.9,115.7,56963
ADLABS,20191014,2.5,2.5,2.3,2.3,110077
ADORWELD,20191014,297.5,324.3,292,300.95,7601
ADSL,20191014,13.1,13.4,13.05,13.1,10564
ADVANIHOTR,20191014,53.05,54.1,52.3,53.3,2079
ADVENZYMES,20191014,148,149.95,147,147.55,25326
AEGISCHEM,20191014,166.5,168.9,163.05,163.8,101250
AFFLE,20191014,1192,1245,1182.2,1200.9,115142
AGARIND,20191014,119.9,119.9,113.4,113.75,701
AGCNET,20191014,109.3,118.4,109.3,112.25,2794
AGLSL,20191014,49,49.5,48.05,48.1,6097
AGRITECH,20191014,43,45,43,43.75,3501
AGROPHOS,20191014,109.15,110.45,109.1,110.1,721091
AHLEAST,20191014,175.05,184,175.05,180.4,442
AHLUCONT,20191014,271.9,272.95,268.75,272.05,843
AHLWEST,20191014,280,293,275.1,280.9,364
AIAENG,20191014,1700,1719,1681.05,1716.6,7384
AIONJSW,20191014,9.5,10.05,9.35,10,36547
AIRAN,20191014,12.45,12.75,12.4,12.55,2781
AJANTPHARM,20191014,973.05,990,950,959.8,484866
AJMERA,20191014,112.7,118.75,112.2,113.5,27851
AKASH,20191014,63.5,63.5,59.1,59.15,804
AKSHARCHEM,20191014,197.9,204.9,197.15,203.85,1956
AKSHOPTFBR,20191014,7.6,7.75,7.45,7.5,106922
AKZOINDIA,20191014,1850,1899.9,1816.25,1866.1,16947
ALANKIT,20191014,19.9,20.35,18.9,19.95,107157
ALBERTDAVD,20191014,337.1,344.4,337,342.65,2971
ALBK,20191014,25.9,26.1,25.4,25.6,674336
ALCHEM,20191014,0.8,0.85,0.8,0.8,3161
ALEMBICLTD,20191014,47.15,47.15,45.1,46.2,49595
ALICON,20191014,344,344,335.3,336,474
ALKALI,20191014,45.45,45.5,42.65,43,6152
ALKEM,20191014,1954.9,1959.9,1930,1941.95,90443
ALKYLAMINE,20191014,833,844.65,827.45,835.2,5366
ALLCARGO,20191014,99.45,100.8,98,98.65,129829
ALLSEC,20191014,270,274.95,267.5,272.7,1257
ALMONDZ,20191014,9.5,9.5,9.05,9.45,1391
ALOKTEXT,20191014,1.8,1.8,1.8,1.8,1167665
ALPA,20191014,14.3,14.3,13.25,13.75,6488
ALPHAGEO,20191014,188,190.75,180,180.65,7294
ALPSINDUS,20191014,0.3,0.35,0.25,0.35,13915
AMARAJABAT,20191014,679.95,687.8,673.2,684.75,175458
AMBER,20191014,930,959,928.15,932.3,35786
AMBIKCO,20191014,921.95,921.95,895,898.8,1504
AMBUJACEM,20191014,189.85,195.3,188.75,194.05,2856315
AMDIND,20191014,16.25,16.25,15.35,15.6,2139
AMJLAND,20191014,15.75,15.9,15.25,15.8,7309
AMRUTANJAN,20191014,349,353.3,338,340.6,24141
ANANTRAJ,20191014,28.45,29.4,28.25,29.25,142354
ANDHRABANK,20191014,16.15,16.35,15.5,15.85,368391
ANDHRACEMT,20191014,2.7,2.75,2.7,2.75,58715
ANDHRSUGAR,20191014,264.75,268.6,263.55,265.4,10843
ANIKINDS,20191014,5.9,6.45,5.9,6.2,1850
ANKITMETAL,20191014,0.5,0.5,0.4,0.45,2540
ANSALAPI,20191014,4,4.15,3.95,3.95,14759
ANSALHSG,20191014,4.45,5.15,4.1,4.45,49771
ANTGRAPHIC,20191014,0.75,0.75,0.7,0.75,22671
ANUP,20191014,442.05,459.85,442,450.25,5212
APARINDS,20191014,508,524,508,513.75,2099
APCL,20191014,139.6,142,139.55,140.2,2533
APCOTEXIND,20191014,184.15,189.9,182.8,186.75,7974
APEX,20191014,208,213,207.1,209.4,23019
APLAPOLLO,20191014,1368.6,1396.75,1345,1352.05,36423
APLLTD,20191014,540,548,532,535.45,12152
