<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191016,38.05,38.9,37.55,37.85,16738
21STCENMGM,20191016,12.7,12.7,12.65,12.65,41
3IINFOTECH,20191016,2.05,2.05,2,2,298210
3MINDIA,20191016,20253.25,20624,20250,20610.25,3201
3PLAND,20191016,5.95,5.95,5.9,5.9,2
5PAISA,20191016,183,187.7,172,175.65,9825
63MOONS,20191016,116.25,118.75,114,114.8,65685
A2ZINFRA,20191016,9.85,10.1,9.55,10,303722
AARTIDRUGS,20191016,452.95,461.8,452.95,458.9,8917
AARTIIND,20191016,759,767,753.1,762.95,121572
AARVEEDEN,20191016,15,15,13.8,14.25,11134
AAVAS,20191016,1689,1696,1651,1677.5,12265
ABAN,20191016,24.85,25.95,24.5,24.95,40033
ABB,20191016,1513,1534.5,1503.15,1519.5,100101
ABBOTINDIA,20191016,10949.9,10998.8,10868.35,10949.35,2736
ABCAPITAL,20191016,77.8,78.75,77.35,78.05,854867
ABFRL,20191016,201.45,203.35,196,197.9,573490
ABSLNN50ET,20191016,273,273,273,273,12
ACC,20191016,1530,1560,1511.35,1521.45,3659977
ACCELYA,20191016,830.7,839,813.35,819.85,2423
ACE,20191016,78.05,78.5,77.7,78,116878
ADANIENT,20191016,155,160.9,155,160.15,9587304
ADANIGAS,20191016,152.1,152.3,148,148.4,729488
ADANIGREEN,20191016,80.6,81,79.3,80.25,1511651
ADANIPORTS,20191016,413,413.75,403.6,410,2008661
ADANIPOWER,20191016,61.9,62.1,60.55,61.15,4421121
ADANITRANS,20191016,242.05,243.8,233.05,234.5,233490
ADFFOODS,20191016,255.8,261.85,255.5,256.5,17694
ADHUNIKIND,20191016,116.5,119.85,113.35,115.5,73594
ADLABS,20191016,2.2,2.2,2.1,2.1,33966
ADORWELD,20191016,301.95,303.5,292.5,296.15,1757
ADROITINFO,20191016,7.2,7.2,6.85,6.85,218
ADSL,20191016,13.15,13.85,13.05,13.35,35346
ADVANIHOTR,20191016,53.85,54.8,52,53.5,2237
ADVENZYMES,20191016,146.1,148.3,145.1,146.95,82895
AEGISCHEM,20191016,169.5,169.5,163.05,163.4,94387
AFFLE,20191016,1167.9,1220,1164.1,1178,74289
AGARIND,20191016,122,122,113.05,113.25,1793
AGCNET,20191016,108,113.9,108,109,564
AGLSL,20191016,50.5,51.9,49,49.2,5447
AGRITECH,20191016,43.5,45,43,43.95,4631
AGROPHOS,20191016,110.25,110.4,110.2,110.25,310078
AHLEAST,20191016,184.95,189.25,177.4,181,84
AHLUCONT,20191016,275,275,264.2,270.9,63297
AHLWEST,20191016,275.5,282,266.6,277.45,442
AIAENG,20191016,1709.35,1723.35,1656.05,1672.4,11554
AIONJSW,20191016,10.3,10.3,9.95,10.15,66393
AIRAN,20191016,12.75,12.75,12.5,12.75,3744
AJANTPHARM,20191016,962.45,986,955,960.75,224498
AJMERA,20191016,113.5,117.8,112.65,114.3,24603
AKSHARCHEM,20191016,197.1,202.8,197.1,199.3,886
AKSHOPTFBR,20191016,7.6,7.6,7.2,7.25,198978
AKZOINDIA,20191016,1940,1994,1940,1976,25991
ALANKIT,20191016,19.15,19.95,18.8,19.25,155846
ALBERTDAVD,20191016,345.05,359.4,345,353.2,2659
ALBK,20191016,24.9,25.05,24.4,24.55,529171
ALCHEM,20191016,0.8,0.8,0.75,0.75,1736
ALEMBICLTD,20191016,46.35,47.85,45.25,46.05,56019
ALICON,20191016,338.05,349.5,338.05,348.3,2142
ALKALI,20191016,42.6,43.95,42.1,42.9,3989
ALKEM,20191016,1916,1937.95,1906,1914.4,8762
ALKYLAMINE,20191016,849.95,850,831.65,834.65,2259
ALLCARGO,20191016,100.25,101.7,98.4,98.95,93359
ALLSEC,20191016,278,278,267.2,275,347
ALMONDZ,20191016,9.05,9.25,8.65,8.7,1631
ALOKTEXT,20191016,1.7,1.7,1.7,1.7,709540
ALPA,20191016,14.2,14.3,14,14.25,3963
ALPHAGEO,20191016,178.45,183.95,176.2,179.5,28941
ALPSINDUS,20191016,0.35,0.35,0.3,0.3,10892
AMARAJABAT,20191016,682.4,688,660,664.15,542472
AMBER,20191016,934.65,937.9,901,907.05,15888
AMBIKCO,20191016,921.95,921.95,894.05,900.25,1595
AMBUJACEM,20191016,199.2,203.1,198.7,202.7,3790120
AMDIND,20191016,15.5,15.65,15.05,15.45,1014
AMJLAND,20191016,16.45,17.8,16.3,17.65,4742
AMRUTANJAN,20191016,355.4,363.95,348.75,354.05,16583
ANANTRAJ,20191016,29.35,29.85,28.25,28.8,109207
ANDHRABANK,20191016,15.5,16.25,15.5,15.8,356859
ANDHRACEMT,20191016,2.8,2.8,2.6,2.65,24465
ANDHRSUGAR,20191016,267,267,258.75,260.5,11031
ANIKINDS,20191016,5.7,6.1,5.5,5.85,20801
ANKITMETAL,20191016,0.5,0.5,0.45,0.45,788
ANSALAPI,20191016,4.05,4.25,3.95,4.2,11777
ANSALHSG,20191016,4.55,4.95,4.25,4.65,21959
ANTGRAPHIC,20191016,0.65,0.75,0.65,0.75,49915
ANUP,20191016,467,468,450,453.3,1704
APARINDS,20191016,519.95,519.95,508.55,514.95,4261
APCL,20191016,140.1,147,140.1,144.9,4252
APCOTEXIND,20191016,189,189.9,186.55,188.05,6962
APEX,20191016,216.8,229.8,213,225.55,103125
APLAPOLLO,20191016,1409.9,1417,1375.05,1406.4,10333
APLLTD,20191016,527.8,535.95,520.5,522.8,25681
APOLLO,20191016,70,70,67.15,68.1,18545
APOLLOHOSP,20191016,1484,1494.4,1480,1483.2,304772
APOLLOTYRE,20191016,173.7,177.8,172.85,177.45,1914748
APOLSINHOT,20191016,780.05,787.45,761,769.75,646
APTECHT,20191016,152.9,161.6,152.9,156.95,204293
ARCHIDPLY,20191016,25.9,27.2,25.9,26.7,2654
ARCHIES,20191016,18.9,19.1,18.25,18.75,15643
ARCOTECH,20191016,1.65,1.65,1.55,1.55,23449
ARIES,20191016,61.2,62.15,60.1,60.8,6546
ARIHANT,20191016,17.2,19.9,17,17.9,2426
ARIHANTSUP,20191016,24.05,24.05,24.05,24.05,2634
ARMANFIN,20191016,533.05,546,533.05,544.55,2234
AROGRANITE,20191016,39.85,40.3,38.75,39.65,9381
ARROWGREEN,20191016,55.5,55.7,53.8,54.35,3344
ARROWTEX,20191016,9.9,9.95,9.2,9.45,9141
ARSHIYA,20191016,15.9,16.35,15.6,15.6,69563
ARSSINFRA,20191016,22,22.2,21.95,22.2,13179
ARVIND,20191016,42,42.95,41.85,42.7,604743
ARVINDFASN,20191016,419.05,431.95,419.05,430.25,6657
ARVSMART,20191016,87.05,90.4,86.8,89.4,15302
ASAHIINDIA,20191016,182.95,191,181.15,189.15,18850
ASAHISONG,20191016,140,141.55,137.7,138.8,2822
ASAL,20191016,32.15,33,31.1,31.2,533
ASHAPURMIN,20191016,28.65,30.9,28.4,29.9,66832
ASHIANA,20191016,94.55,97.45,94.1,96.9,49774
ASHIMASYN,20191016,7.25,7.7,7.05,7.25,41941
ASHOKA,20191016,101.6,107.2,100,105.3,556282
ASHOKLEY,20191016,70,71.95,69.1,71.65,35894091
ASIANPAINT,20191016,1808.5,1814,1756.55,1765.7,1403020
ASIANTILES,20191016,219.85,222.45,216.45,220.3,28980
ASPINWALL,20191016,131.65,136.65,131.5,135,527
