<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20191115,35.6,36.25,35.55,35.65,18102
21STCENMGM,20191115,13.95,13.95,13.7,13.95,37
3IINFOTECH,20191115,1.95,1.95,1.85,1.9,1541420
3MINDIA,20191115,22300,22500,22070.05,22259.05,1194
3PLAND,20191115,6.25,6.25,6.25,6.25,525
5PAISA,20191115,154.95,161.3,151.3,156.3,18202
63MOONS,20191115,114.55,115.5,109.15,110.35,152806
A2ZINFRA,20191115,8.65,9.55,8.65,9.05,480512
AARTIDRUGS,20191115,522.15,529,515,525.1,12531
AARTIIND,20191115,808,818,801,805.2,45710
AARVEEDEN,20191115,13.2,13.2,12.8,12.9,6731
AAVAS,20191115,1615,1648.95,1600,1610.8,119775
ABAN,20191115,28.4,29.5,27.6,29.1,32144
ABB,20191115,1471.9,1477.7,1455.3,1466.35,52525
ABBOTINDIA,20191115,12099,12450,12078.05,12365,13691
ABCAPITAL,20191115,80,82.7,79.5,81.35,1748531
ABFRL,20191115,209.3,215,205.65,214.1,735422
ABSLBANETF,20191115,320,320,309.2,309.7,13
ACC,20191115,1488.15,1505.85,1483,1485.55,679292
ACCELYA,20191115,1100.5,1120,1053,1060.2,11053
ACE,20191115,84.5,84.75,80.25,83.25,131403
ADANIENT,20191115,202,205,200.8,203.6,3314555
ADANIGAS,20191115,147.5,147.85,146.05,146.55,498918
ADANIGREEN,20191115,95.4,96.7,94.5,95.5,1053101
ADANIPORTS,20191115,369.1,370.9,365.5,366.3,2362065
ADANIPOWER,20191115,61.6,62.3,60.5,60.85,7044754
ADANITRANS,20191115,272,275,267.5,268.95,156598
ADFFOODS,20191115,296.5,304.3,294.15,302.35,74386
ADHUNIKIND,20191115,100,103.65,96.6,99.45,64485
ADLABS,20191115,3.75,3.75,3.45,3.6,103134
ADORWELD,20191115,326.95,327,307,309.6,16754
ADROITINFO,20191115,10.2,10.2,9.3,9.35,7611
ADSL,20191115,17.3,18.5,15.75,16.25,107291
ADVANIHOTR,20191115,56,56.5,55,55.2,2365
ADVENZYMES,20191115,168.6,169.95,166.05,166.8,49914
AEGISCHEM,20191115,177,179.75,170.3,175.15,264683
AFFLE,20191115,1677,1684,1620,1638.4,206305
AGARIND,20191115,119,119.55,112,112.6,4604
AGCNET,20191115,126,126.55,126,126.55,6590
AGRITECH,20191115,44.5,44.85,41.5,43.65,13007
AGROPHOS,20191115,122.3,122.75,122.3,122.6,376996
AHLEAST,20191115,180,182.95,172,173.05,3994
AHLUCONT,20191115,290,290,277.7,278.45,4368
AHLWEST,20191115,280,288.5,274.5,274.95,1264
AIAENG,20191115,1640,1655,1627.25,1647.25,28737
AIONJSW,20191115,10,10.1,9.75,9.85,32204
AIRAN,20191115,11.4,11.4,10.75,11,5230
AJANTPHARM,20191115,969.95,979,966.95,970.75,38426
AJMERA,20191115,121.25,124.8,121,121.8,28297
AKASH,20191115,61.1,62.5,59,62.45,2050
AKSHARCHEM,20191115,202.4,202.4,191,194.1,6256
AKSHOPTFBR,20191115,6.8,6.95,6.5,6.55,380818
AKZOINDIA,20191115,1930,1945.45,1901,1930.7,6796
ALANKIT,20191115,16.35,16.35,14.85,14.85,71101
ALBERTDAVD,20191115,441.25,479,422.2,426.9,129341
ALBK,20191115,25.7,26.25,25.15,25.6,1024135
ALEMBICLTD,20191115,55.5,55.55,51.6,52.1,269569
ALICON,20191115,384,392.9,377.3,377.5,910
ALKALI,20191115,42.2,43.5,41.3,42.15,15681
ALKEM,20191115,2029,2075,2029,2058.25,77156
ALKYLAMINE,20191115,1021.95,1030,1015,1015.7,2781
