Kanoria Chem,KANORICHEM,1:2,29-10-2007,07-01-2008,31-12-2007
Rasi Electrodes,,2:5,25-07-2007,20-12-2007,19-12-2007
Mediaone Global,,5:1,14-08-2007,24-12-2007,12-12-2007
Ushdev Intl,USHDEVINT,1:1,15-10-2007,06-12-2007,05-12-2007
Vinati Organics,VINATIORGA,1:2,31-07-2007,23-11-2007,22-11-2007
Harita Seating,HARITASEAT,1:1,28-07-2007,16-11-2007,15-11-2007
Axon Finance,,3:1,01-09-2007,16-11-2007,15-11-2007
DMC Education,,1:1,14-05-2007,13-11-2007,12-11-2007
CNI Research,,1:2,02-11-2006,15-01-2007,08-01-2007
Parenteral Drug,PDPL,1:1,04-09-2007,05-11-2007,02-11-2007
BAMPSL Sec,,2:5,30-06-2007,05-11-2007,02-11-2007
Dolat Investmen,DOLAT,1:1,21-07-2007,30-10-2007,29-10-2007
Opto Circuits,OPTOCIRCUI,1:2,29-06-2007,26-10-2007,25-10-2007
Kirloskar Ind,KIRLOSIND,1:1,19-07-2007,27-10-2007,25-10-2007
JBM Auto,JBMA,1:2,28-07-2007,25-10-2007,24-10-2007
Ashapura Mine,ASHAPURMIN,1:1,27-06-2007,19-10-2007,18-10-2007
TV 18,TV-18,1:1,05-07-2007,18-10-2007,17-10-2007
Kernex Micro,KERNEX,1:10,29-06-2007,17-10-2007,16-10-2007
Marathon Realty,MARATHON,2:1,29-06-2007,15-10-2007,12-10-2007
Elecon Eng,ELECON,2:1,15-06-2007,11-10-2007,10-10-2007
Jai Corp,JAICORPLTD,1:1,09-08-2007,12-10-2007,05-10-2007
Valecha Engg,VALECHAENG,1:2,30-07-2007,05-10-2007,04-10-2007
Modern Dairies,,1:1,23-07-2007,01-10-2007,28-09-2007
Modern Steels,,3:2,24-07-2007,01-10-2007,28-09-2007
Suraj,,2:1,26-06-2007,17-09-2007,14-09-2007
Jaybharat Text,,1:1,23-07-2007,04-09-2007,03-09-2007
Proseed India,PROSEED,1:1,28-05-2007,03-09-2007,31-08-2007
Unitech,UNITECH,1:1,28-05-2007,31-08-2007,30-08-2007
Motherson Sumi,MOTHERSUMI,1:2,26-05-2007,31-08-2007,30-08-2007
NIIT Tech,NIITTECH,1:2,23-05-2007,31-08-2007,30-08-2007
Banco Products,BANCOINDIA,1:1,28-06-2007,31-08-2007,30-08-2007
Bajaj Electric,BAJAJELEC,1:1,29-05-2007,29-08-2007,28-08-2007
3i Infotech,3IINFOTECH,1:1,25-04-2007,28-08-2007,27-08-2007
NIIT,NIITLTD,1:2,05-06-2007,31-08-2007,24-08-2007
Jetking Info,,1:1,20-06-2007,23-08-2007,22-08-2007
Geodesic,GEODESIC,1:2,18-06-2007,21-08-2007,17-08-2007
Matra Realty,,5:1,10-06-2007,27-08-2007,17-08-2007
Bk Of Rajasthan,BANKRAJAS,1:4,12-05-2007,-,16-08-2007
Nucleus Softwar,NUCLEUS,1:1,30-04-2007,06-08-2007,03-08-2007
Gateway Distri,GDL,1:4,30-04-2007,03-08-2007,02-08-2007
Sun TV Network,SUNTV,1:1,24-04-2007,-,23-07-2007
Praj Industries,PRAJIND,1:1,18-04-2007,-,18-07-2007
Gemini Comm,GEMINI,1:1,29-01-2007,18-07-2007,17-07-2007
Moser Baer,MOSERBAER,1:2,01-05-2007,18-07-2007,17-07-2007
Bharat Seats,,1:1,13-04-2007,05-07-2007,28-06-2007
Bosch Chassis,BOSCHCHASY,1:1,20-02-2007,07-06-2007,06-06-2007
BHEL,BHEL,1:1,25-01-2007,01-06-2007,31-05-2007
APL Apollo,APLAPOLLO,1:1,10-01-2007,26-05-2007,24-05-2007
