Company Name,old_fv,new_fv,date,code
JagranPrakashan,10,2,09-01-2008,JAGRAN
Rujul Finance,2,10,31-12-2009,NA
Nu Tek India,10,5,23-12-2009,NUTEK
Firstobject Tec,1,10,22-12-2009,NA
Kanani Ind,10,5,22-12-2009,KANANIIND
JK Lakshmi Cem,10,5,17-12-2009,JKLAKSHMI
Gennex Labs,10,1,14-12-2009,NA
Intl Conveyor,10,1,10-12-2009,NA
Kwality,10,1,10-12-2009,KWALITY
Jindal Saw,10,2,10-12-2009,JINDALSAW
Munoth Capital,10,5,09-12-2009,NA
Ashco Niulab,10,1,08-12-2009,ASHCONIUL
Flawless Diamon,10,1,03-12-2009,NA
Vintron Ind,10,1,27-11-2009,NA
HBL Power,10,1,24-11-2009,HBLPOWER
Allcargo,10,2,19-11-2009,ALLCARGO
Sigrun Holdings,10,1,19-11-2009,NA
Hind Nat Glass,10,2,12-11-2009,HINDNATGLS
Allied Digital,10,5,11-11-2009,ADSL
Madhucon Proj,2,1,05-11-2009,MADHUCON
Yantra Natural,10,1,04-11-2009,NA
Vinati Organics,10,2,30-10-2009,VINATIORGA
Baba Arts,4,1,29-10-2009,NA
KCL Infrra,100,2,29-10-2009,NA
Sturdy Ind,10,2,29-10-2009,NA
Educomp Sol,10,2,27-10-2009,EDUCOMP
Gammon Infra,10,2,26-10-2009,GAMMNINFRA
REI Six Ten,10,2,26-10-2009,REISIXTEN
Birla Cotsyn,10,1,23-10-2009,BIRLACOT
FCS Software,10,1,15-10-2009,FCSSOFT
Trimurthi,10,1,15-10-2009,NA
Comfort,10,1,14-10-2009,NA
Marsons,2,10,14-10-2009,NA
Gokul Refoils,10,2,14-10-2009,GOKUL
Sunteck Realty,10,2,09-10-2009,SUNTECK
Supertex Ind,10,1,08-10-2009,NA
Menon Bearings,10,5,08-10-2009,MENONBE
GMR Infra,2,1,01-10-2009,GMRINFRA
SKS,2,10,25-09-2009,SKSIND
Falcon Tyres,10,5,25-09-2009,FALCONTYRE
Arcotech,2,10,25-09-2009,ARCOTECH
Winsome Textile,10,1,24-09-2009,NA
MVL,10,2,18-09-2009,MVL
Rajoo Engineers,10,1,17-09-2009,NA
ILandFS,10,2,16-09-2009,IVC
Ramcoind,10,1,14-09-2009,RAMCOIND
Anjani Synth,10,1,08-09-2009,NA
Veer Energy,10,1,04-09-2009,NA
SJ Corporation,10,1,28-08-2009,NA
Zyden Gentec,10,1,27-08-2009,NA
Ashtavinayak,10,1,20-08-2009,SHREEASHTA
ACIL Cotton Ind,10,5,14-08-2009,NA
Austral Coke,10,1,07-08-2009,AUSTRAL
KGN Industries,10,1,07-08-2009,NA
Avance Tech,10,1,03-08-2009,NA
Radhe Developer,10,1,30-07-2009,NA
Bharti Airtel,10,5,24-07-2009,BHARTIARTL
JMD Ventures,10,1,03-07-2009,NA
Indiaco Venture,10,2,19-06-2009,NA
Good Luck,10,2,12-06-2009,GOODLUCK
Anus Labs,10,1,11-05-2009,NA
Alka Secur,2,1,06-05-2009,NA
Birla Power Sol,10,1,24-04-2009,BIRLAPOWER
AMJ Land ,10,2,23-03-2009,AMJLAND
Lincoln Pharma,2,10,19-03-2009,LINCOLN
Sarang Chem,10,1,17-03-2009,NA
Coral Hub,10,1,27-02-2009,CORAL-HUB
Trinethra Infra,10,2,26-02-2009,NA
Rei Agro,10,1,05-02-2009,REIAGROLTD
Spectacle,10,1,23-01-2009,SPECTACLE
Sanraa Media,10,1,20-01-2009,NA
State Bk Mysore,100,10,07-01-2009,MYSOREBANK
Texmaco Infra,10,1,01-01-2009,TEXINFRA
LIC Housing Fin,10,2,30-12-2010,LICHSGFIN
KEC Intl,10,2,30-12-2010,KEC
SVC Resources,2,1,29-12-2010,NA
Coromandel Int,2,1,23-12-2010,COROMANDEL
Surya Pharma,10,1,23-12-2010,SURYAPHARM
EID Parry,2,1,23-12-2010,EIDPARRY
Balkrishna Ind,10,2,20-12-2010,BALKRISIND
Tribhuvan House,5,1,13-12-2010,NA
ACIL Cotton Ind,5,1,09-12-2010,NA
Sadbhav Engg,10,1,07-12-2010,SADBHAV
Sun Pharma,5,1,25-11-2010,SUNPHARMA
Greaves Cotton,10,2,24-11-2010,GREAVESCOT
Balaji Amines,10,2,18-11-2010,BALAMINES
MVL,2,1,16-11-2010,MVL
Somany Ceramics,10,2,11-11-2010,SOMANYCERA
Oriental Hotels,10,1,10-11-2010,ORIENTHOT
Standard Batter,1,1,09-11-2010,STANDRDBAT
JVL Agro Ind,10,1,09-11-2010,JVLAGRO
Global Cap Mkts,10,1,08-11-2010,NA
Atlanta,10,2,08-11-2010,ATLANTA
Himadri Special,10,1,08-11-2010,HSCL
Nitin Fire Prot,10,2,04-11-2010,NITINFIRE
Super Tannery,2,1,04-11-2010,NA
Asahi Infra,1,10,03-11-2010,NA
IFL Promoters,10,5,03-11-2010,NA
Archies,10,2,02-11-2010,ARCHIES
Gangotri Iron,10,5,29-10-2010,NA
Jain Irrigation,10,2,29-10-2010,JISLJALEQS
Paisalo Digital,10,2,05-04-2010,PAISALO
JISL,10,2,29-10-2010,JISLDVREQS
Prime Focus,10,1,29-10-2010,PFOCUS
Sintex Ind,2,1,27-10-2010,SINTEX
Genus Power,10,1,22-10-2010,GENUSPOWER
Unichem Labs,5,2,21-10-2010,UNICHEMLAB
Sezal Glass,10,1,21-10-2010,SEZAL
Supreme Ind,10,2,18-10-2010,SUPREMEIND
Parsvnath,10,5,18-10-2010,PARSVNATH
Ram Ratna Wires,10,5,14-10-2010,NA
Responsive Ind,10,1,08-10-2010,RESPONIND
Diamant Infra,10,2,07-10-2010,NA
Rockon Fintech,10,5,06-10-2010,NA
Trimurthi,1,10,04-10-2010,NA
Aqua Logistics,10,1,01-10-2010,AQUA
BL Kashyap,5,1,29-09-2010,BLKASHYAP
Tirupati Sarjan,10,5,28-09-2010,NA
Nissan Copper,10,1,27-09-2010,NCOPPER
Shree Nath Comm,10,1,24-09-2010,NA
DB (Int) Stock,10,2,24-09-2010,DBSTOCKBRO
Adani Ports,10,2,23-09-2010,ADANIPORTS
Aarya Global,10,1,23-09-2010,NA
Mahalaxmi Rub,10,1,23-09-2010,NA
Arihant Capital,10,5,23-09-2010,NA
South Ind Bk,10,1,23-09-2010,SOUTHBANK
Ashco Niulab,1,10,21-09-2010,ASHCONIUL
Tata Steel BSL ,10,2,21-09-2010,TATASTLBSL
Astral Poly Tec,10,5,15-09-2010,ASTRAL
Resurgere Mines,10,1,15-09-2010,RMMIL
Kotak Mahindra,10,5,13-09-2010,KOTAKBANK
Kalpataru Power,10,2,08-09-2010,KALPATPOWR
Britannia,10,2,08-09-2010,BRITANNIA
Shree Rang Mark,10,5,07-09-2010,NA
KCP,10,1,02-09-2010,KCP
Dhanuka Agritec,10,2,02-09-2010,DHANUKA
Apollo Hospital,10,5,02-09-2010,APOLLOHOSP
Indian Hume,10,2,30-08-2010,INDIANHUME
Lupin,10,2,27-08-2010,LUPIN
Redington,10,2,20-08-2010,REDINGTON
HDFC,10,2,18-08-2010,HDFC
Magma Fincorp,10,2,13-08-2010,MAGMA
Gemstone Inv,10,1,13-08-2010,NA
Jayshree Tea,10,5,13-08-2010,JAYSREETEA
Rainbow Papers,10,2,11-08-2010,RAINBOWPAP
Edelweiss,5,1,10-08-2010,EDELWEISS
Farmax India,10,5,27-01-2010,FARMAXIND
Pratibha Ind,10,2,30-07-2010,PRATIBHA
Luharuka Media ,10,1,29-07-2010,NA
MMTC Ltd,10,1,29-07-2010,MMTC
Emami,2,1,21-07-2010,EMAMILTD
EICL,10,2,07-07-2010,NA
Tulip Telecom,10,2,06-07-2010,TULIP
Kriptol Ind,10,5,02-07-2010,NA
Tata Global Bev,10,1,30-06-2010,TATAGLOBAL
Allied Computer,1,10,29-06-2010,NA
Veritas,10,1,28-06-2010,NA
Chartered Logis,10,1,23-06-2010,NA
Genesys Int,10,5,23-06-2010,GENESYS
Sterlite Ind,2,1,21-06-2010,STER
Bodal Chemicals,10,2,10-06-2010,BODALCHEM
Kabra Extrusion,10,5,17-05-2010,KABRAEXTRU
EngineersInd,10,5,06-05-2010,ENGINERSIN
Vipul,2,1,04-05-2010,VIPULLTD
Manappuram Fin,10,2,03-05-2010,MANAPPURAM
Tatia Global,10,1,22-04-2010,NA
Unity Infraproj,10,2,07-04-2010,UNITY
M&M,10,5,29-03-2010,M&M
Simmonds-Marsha,10,2,29-03-2010,NA
KM Sugar Mills,10,2,26-03-2010,KMSUGAR
Ipca Labs,10,2,22-03-2010,IPCALAB
Murli,10,2,18-03-2010,MURLIIND
Suprajit Eng,5,1,18-03-2010,SUPRAJIT
LG Balakrishnan,1,10,15-03-2010,LGBBROSLTD
Well Pack Paper,10,1,15-03-2010,NA
India Sec,10,1,11-03-2010,INDIASEC
Vaarad Ventures,10,2,09-03-2010,NA
Sterlite Techno,5,2,09-03-2010,STRTECH
Basant Agro Tec,10,1,26-02-2010,NA
JMDE Packaging,10,1,26-02-2010,NA
Haldyn Glass,10,1,25-02-2010,NA
Aishwarya Tele,10,5,24-02-2010,NA
Assoc Stone,10,5,18-02-2010,ASOCSTONE
CCCL,10,2,10-02-2010,CCCL
KRBL,10,1,10-02-2010,KRBL
Asian Films,1,10,04-02-2010,NA
Bajaj Electric,10,2,28-01-2010,BAJAJELEC
Nakoda,10,5,22-01-2010,NAKODA
Visagar Polytex,10,1,21-01-2010,VIVIDHA
Winsome Yarns,10,1,21-01-2010,WINSOME
Mahan Ind,10,1,15-01-2010,NA
Lanco Infratech,10,1,04-01-2010,LITL
Munjal Auto Ind,10,2,29-12-2011,MUNJALAU
Odyssey Corp,10,5,23-12-2011,NA
DPSC,10,1,15-12-2011,DPSCLTD
Santowin Corp,10,2,16-05-2011,NA
GFL Financials,10,5,29-11-2011,NA
Mah Polybutenes,10,1,14-11-2011,NA
Sezal Glass,1,10,09-11-2011,SEZAL
Maximaa Systems,10,2,04-11-2011,NA
Dynacons Sys,1,10,03-11-2011,DSSL
Metkore Alloys,10,2,03-11-2011,METKORE
VIP Industries,10,2,31-10-2011,VIPIND
Innovative Tech,10,1,28-10-2011,NA
Blue Circle Ser,10,1,21-10-2011,NA
Best Eastern,10,2,20-10-2011,NA
Vertex Sec,10,2,17-10-2011,NA
Carborundum,2,1,05-10-2011,CARBORUNIV
Paisalo Digital,1,10,04-10-2011,PAISALO
Hatsun Agro,2,1,03-10-2011,HATSUN
BHEL,10,2,03-10-2011,BHEL
Nissan Copper,1,10,29-09-2011,NCOPPER
CRISIL,10,1,28-09-2011,CRISIL
Tata Power,10,1,26-09-2011,TATAPOWER
Khaitan Chem,10,1,14-09-2011,NA
Tilak Ventures,10,1,13-09-2011,NA
Banas Finance,10,1,12-09-2011,NA
TML-D,10,2,12-09-2011,TATAMTRDVR
Tata Motors,10,2,12-09-2011,TATAMOTORS
Vaarad Ventures,2,1,09-09-2011,NA
Supertex Ind,1,10,07-09-2011,NA
Nelcast,10,2,06-09-2011,NELCAST
Vijay Textiles,1,10,02-09-2011,NA
Walchand People,100,10,30-08-2011,NA
Rockon Fintech,5,1,25-08-2011,NA
PI Industries,10,5,17-08-2011,PIIND
CCL Internation,10,2,17-08-2011,NA
Va Tech Wabag,5,2,16-08-2011,WABAG
Grauer and Weil,10,1,11-08-2011,NA
GCV Services,10,5,23-02-2011,NA
Winsome Yarns,1,10,04-08-2011,WINSOME
Winsome Textile,1,10,15-07-2011,NA
Rallis India,10,1,15-07-2011,RALLIS
Oricon Ent,10,2,14-07-2011,ORICONENT
HDFC Bank,10,2,14-07-2011,HDFCBANK
Le Waterina,10,1,04-07-2011,NA
Titan Company,10,1,23-06-2011,TITAN
Cox & Kings,10,5,21-06-2011,COX&KINGS
Rasoya Protein,10,5,21-06-2011,RASOYPR
Windsor,4,2,16-06-2011,WINDMACHIN
Rain Industries,10,2,15-06-2011,RAIN
LS Industries,10,1,14-06-2011,NA
Chandni Textile,10,1,06-06-2011,NA
Minal Ind,10,2,02-06-2011,NA
Volant Tex,10,1,01-06-2011,NA
Hindoostan Mill,100,10,25-05-2011,NA
Bajaj Consumer ,5,1,05-05-2011,BAJAJCON
Intellivate Cap,10,1,27-04-2011,NA
Bafna Spinning,5,1,13-04-2011,NA
Tuni Textile,10,1,07-04-2011,NA
Nouveau Global,10,1,07-04-2011,NA
Dazzel Confi,10,1,31-03-2011,NA
Ador Fontech,10,2,28-03-2011,NA
Exelon Infra,10,5,24-03-2011,NA
NALCO,10,5,15-03-2011,NATIONALUM
Hind Zinc,10,2,07-03-2011,HINDZINC
Gujarat Metal,10,100,04-03-2011,NA
Nicco Parks,10,1,24-02-2011,NA
Visagar Fin,10,2,21-02-2011,NA
Jay Energy,10,2,14-02-2011,NA
Glodyne Techno,10,6,10-02-2011,GLODYNE
Aurobindo Pharm,5,1,10-02-2011,AUROPHARMA
ONGC,10,5,08-02-2011,ONGC
Aurum Soft,10,2,03-02-2011,NA
Coral Hub,1,10,03-02-2011,CORAL-HUB
Amrapali Ind,10,5,27-01-2011,NA
APM Industries,10,2,27-01-2011,NA
Rossell India,10,2,20-01-2011,ROSSELLIND
Shoppers Stop,10,5,12-01-2011,SHOPERSTOP
Neueon Towers,5,1,10-01-2011,NTL
Prism Info,10,1,06-01-2011,NA
Anukaran Commer,10,1,27-12-2012,NA
Ujaas Energy,10,1,21-12-2012,UJAAS
Global Infra,10,1,13-12-2012,NA
Setubandhan Inf,10,1,13-12-2012,SETUINFRA
Nouveau Global,1,10,10-12-2012,NA
Guj Narmada Fly,10,5,07-12-2012,NA
Sunbright Stock,10,5,07-12-2012,NA
Insta Finance,10,5,06-12-2012,NA
Nacl Industries,10,1,22-11-2012,NACLIND
Shalimar Paints,10,2,22-11-2012,SHALPAINTS
Ruby Mills,10,5,22-11-2012,RUBYMILLS
Bombay Burmah,10,2,08-11-2012,BBTC
Rockon Fintech,1,10,02-11-2012,NA
Kanani Ind,5,1,01-11-2012,KANANIIND
Sikozy Realtors,10,1,01-11-2012,NA
Unno Industries,10,1,01-11-2012,NA
SMS Techsoft,10,1,01-11-2012,NA
Baroda Extrusio,10,1,31-10-2012,NA
Bombay Dyeing,10,2,30-10-2012,BOMDYEING
Orissa Minerals,10,1,29-10-2012,ORISSAMINE
Amrutanjan Heal,10,2,25-10-2012,AMRUTANJAN
Dhenu Buildcon,10,1,25-10-2012,NA
Goenka Diamond,10,1,25-10-2012,GOENKA
DJS Stock,10,1,23-10-2012,NA
Zyden Gentec,1,10,26-09-2012,NA
Amara Raja Batt,2,1,25-09-2012,AMARAJABAT
GSFC,10,2,20-09-2012,GSFC
KMF Builders,10,5,17-08-2012,NA
VTM,10,1,16-08-2012,VTMLTD
Safal Herbs,10,1,09-08-2012,NA
Ajanta Pharma,10,5,09-08-2012,AJANTPHARM
Vandana,10,1,02-08-2012,NA
Steelcast,10,5,25-07-2012,NA
GRUH Finance,10,2,24-07-2012,GRUH
Zylog Systems,10,5,29-06-2012,ZYLOG
KCCL Plastic,10,2,18-06-2012,NA
Resurgere Mines,1,10,14-06-2012,RMMIL
Alpha Graphic,10,5,13-06-2012,NA
AVT Natural,10,1,07-06-2012,AVTNPL
Wagend Infra,10,2,06-06-2012,NA
Blazon Marbles,10,2,04-06-2012,NA
Gravita India,10,2,25-05-2012,GRAVITA
Indoco Remedies,10,2,17-05-2012,INDOCO
Arvind Remedies,1,10,14-05-2012,ARVINDREM
U. Y. Fincorp,10,5,03-05-2012,NA
IndiaNivesh,10,1,18-04-2012,NA
Vakrangee,10,1,12-04-2012,VAKRANGEE
Anjani Synth,1,10,28-03-2012,NA
JRI Industries,10,2,21-03-2012,NA
Mahan Ind,1,10,09-03-2012,NA
Nandan Denim,1,10,07-03-2012,NDL
Plastiblends,10,5,29-02-2012,PLASTIBLEN
Esaar (India),10,1,21-02-2012,NA
Radhe Developer,1,10,15-02-2012,NA
Camlin Fine,10,2,15-02-2012,CAMLINFINE
Symphony,10,2,15-02-2012,SYMPHONY
Indian Infotech,10,1,02-02-2012,NA
Nimbus Ind,10,5,27-01-2012,NA
Anka Ind,5,10,13-01-2012,NA
Confidence Fin,10,1,30-12-2013,NA
Universal Sec,10,5,26-12-2013,NA
KDJ Holidayscap,10,2,26-12-2013,NA
Bonanza Ind,10,5,19-12-2013,NA
Aikyam Intellec,10,1,13-12-2013,NA
First Financial,10,1,13-12-2013,NA
CIL Nova Petro,5,10,05-12-2013,CNOVAPETRO
Kaiser Corp,10,1,22-11-2013,NA
Pazel Internati,10,1,22-11-2013,NA
Relaxo Footwear,5,1,22-11-2013,RELAXO
Godrej Prop,10,5,21-11-2013,GODREJPROP
Best Eastern,2,1,14-11-2013,NA
Lifeline Drugs,10,1,13-11-2013,NA
Effingo Textile,10,1,13-11-2013,NA
Shree Nath Comm,1,10,31-10-2013,NA
Centron Ind,10,1,25-10-2013,NA
Ashiana Housing,10,2,24-10-2013,ASHIANA
Atharv Ent,10,1,18-10-2013,NA
Federal Bank,10,2,17-10-2013,FEDERALBNK
S R K Ind,10,5,11-10-2013,NA
Dhanleela,10,2,10-10-2013,NA
Rander Corp,10,1,09-10-2013,NA
Supremex,10,1,30-09-2013,NA
Ram Minerals,10,1,30-09-2013,NA
Kyra Landscapes,10,5,30-09-2013,NA
Intel Cap Adv,10,1,30-09-2013,NA
Mayur Uniquoter,10,5,25-09-2013,MAYURUNIQ
Nyssa Corp,10,1,16-09-2013,NA
Astral Poly Tec,5,2,05-09-2013,ASTRAL
Syncom Formula,10,1,19-08-2013,NA
CCL Products,10,2,19-08-2013,CCL
Virtual Global,10,1,14-08-2013,NA
Apcotex Ind,10,5,14-08-2013,APCOTEXIND
Neueon Towers,1,10,07-08-2013,NTL
Asian Paints,10,1,30-07-2013,ASIANPAINT
Kelvin Fincap,10,5,24-07-2013,NA
IFL Promoters,5,1,11-07-2013,NA
Advanta,10,2,05-07-2013,ADVANTA
Centrum Capital,10,1,03-07-2013,CENTRUM
Ashoka Buildcon,10,5,03-07-2013,ASHOKA
Westlife Dev,10,2,12-06-2013,WESTLIFE
Midland Polymer,10,1,10-06-2013,NA
Linkson Intl,10,5,06-06-2013,NA
MSR India,10,5,31-05-2013,NA
Mahavir Impex,10,5,17-05-2013,NA
Pine Animation,10,1,17-05-2013,NA
Veronica Prod,10,5,26-04-2013,NA
Safal Sec,10,5,23-04-2013,NA
PI Industries,5,1,12-04-2013,PIIND
Shekhawati Poly,10,1,10-04-2013,SPYL
Surabhi Chemica,10,1,10-04-2013,NA
Sybly Ind,1,10,04-04-2013,NA
Mindvision Cap,5,10,26-03-2013,NA
Bil Energy,10,1,26-03-2013,BILENERGY
Rasoya Protein,5,1,21-03-2013,RASOYPR
GFL Financials,5,2,18-03-2013,NA
Shree Shaleen,10,2,06-03-2013,NA
Raj Rayon Ind,10,1,04-03-2013,RAJRAYON
VKS Projects,10,1,27-02-2013,VKSPL
M&M Financial,10,2,15-02-2013,M&MFIN
PMC Fincorp,10,5,07-02-2013,NA
Sulabh Engineer,10,1,04-02-2013,NA
Frontline Sol,10,5,31-01-2013,NA
Radford Global,10,2,29-01-2013,NA
20 Microns,10,5,28-01-2013,20MICRONS
ACI Infocom,10,1,23-01-2013,NA
Moryo,10,5,14-01-2013,NA
Global Cap Mkts,1,10,10-01-2013,NA
Visesh Infotech,10,1,03-01-2013,VISESHINFO
Apollo Tricoat ,10,2,31-12-2014,NA
Omansh Ente,10,2,24-12-2014,NA
Info Drive Soft,10,1,24-12-2014,INFODRIVE
Shivamshree Bus,10,1,24-12-2014,NA
Inceptum Ent,10,1,18-12-2014,NA
JK Tyre & Ind,10,2,18-12-2014,JKTYRE
PNB,10,2,18-12-2014,PNB
Syschem India,1,10,12-12-2014,NA
ICICI Bank,10,2,04-12-2014,ICICIBANK
Godfrey Phillip,10,2,28-11-2014,GODFRYPHLP
Roto Pumps,10,2,27-11-2014,NA
Classic Global,10,1,27-11-2014,NA
Surana Telecom,5,1,25-11-2014,SURANAT&P
Surana Solar,10,5,25-11-2014,SURANASOL
Zen Tech,10,1,21-11-2014,ZENTEC
Sanguine Media ,10,1,20-11-2014,NA
Excel Castronic,10,2,20-11-2014,NA
SBI,10,1,20-11-2014,SBIN
Solis Marketing,10,1,18-11-2014,NA
NCL Research,10,2,17-11-2014,NA
Achal Invest,10,1,12-11-2014,NA
Shivam Auto,10,2,30-10-2014,SHIVAMAUTO
GCM Securities,10,1,28-10-2014,NA
Kridhan Infra,10,2,27-10-2014,KRIDHANINF
PMC Fincorp,5,1,22-10-2014,NA
Midas Infra,10,1,21-10-2014,NA
Sequel e-Router,1,10,17-10-2014,NA
Negotium Int,10,1,16-10-2014,NA
JBM Auto,10,5,08-10-2014,JBMA
Veronica Prod,5,1,08-10-2014,NA
Risa Intl,10,2,07-10-2014,NA
Sudarshan Chem,10,2,30-09-2014,SUDARSCHEM
Astral Poly Tec,2,1,25-09-2014,ASTRAL
Mah Corporation,10,1,25-09-2014,NA
La Opala RG,10,2,24-09-2014,LAOPALA
Southern Ispat,10,1,22-09-2014,SOUISPAT
Vertex Spinning,1,10,19-09-2014,NA
Panama Petro,10,2,19-09-2014,PANAMAPET
Atul Auto,10,5,12-09-2014,ATULAUTO
Allied Computer,10,1,11-09-2014,NA
Alkyl Amines,10,5,08-09-2014,ALKYLAMINE
Camlin Fine,2,1,04-09-2014,CAMLINFINE
JK Bank,10,1,04-09-2014,J&KBANK
PS IT Infra,10,1,03-09-2014,NA
Man Infra,10,2,28-08-2014,MANINFRA
Havells India,5,1,26-08-2014,HAVELLS
Zodiac Ventures,10,1,21-08-2014,NA
Mystic Electr,10,1,14-08-2014,NA
Mukta Agri,10,1,14-08-2014,NA
Alps Motor Fin,10,1,04-08-2014,NA
Axis Bank,10,2,28-07-2014,AXISBANK
Swadeshi Ind,10,1,02-07-2014,NA
Orosil Smiths,10,5,26-06-2014,NA
Thacker,10,5,10-01-2014,NA
Deepak Nitrite,10,2,20-06-2014,DEEPAKNTR
Greencrest Fin,10,1,05-06-2014,NA
Trinity Trade,10,1,23-05-2014,NA
Rekvina Labs,10,5,30-04-2014,NA
Kriptol Ind,5,10,23-04-2014,NA
Cubical Fin Ser,10,2,23-04-2014,NA
Matra Kaushal,10,1,23-04-2014,NA
Swagruha Infra,10,1,04-04-2014,NA
CHL,10,2,03-04-2014,NA
Vikas Ecotech,10,1,27-03-2014,VIKASECO
Raj Television,10,5,25-03-2014,RAJTV
Aarya Global,1,10,19-03-2014,NA
Vishvjyoti Trad,10,1,19-03-2014,NA
Premier Cap,10,1,19-03-2014,NA
Atlanta Infra,10,1,14-03-2014,NA
Him Teknoforge ,10,2,03-03-2014,NA
Finkurve Fin,10,1,26-02-2014,NA
R Systems Intl,10,1,26-02-2014,RSYSTEMS
Sharon Bio Medi,10,2,20-02-2014,SHARONBIO
Swan Energy,2,1,03-02-2014,SWANENERGY
Sam Leaseco,10,1,29-01-2014,NA
Kaveri Seed,10,2,27-01-2014,KSCL
BS Limited,10,1,21-01-2014,BSLIMITED
Mishka Finance,10,1,16-01-2014,NA
Cressanda Sol,10,1,13-01-2014,NA
Maa Jagdambe,10,2,09-01-2014,NA
Nivyah Infra,10,100,07-01-2014,NIVINFRA
Chaman Lal Seti,10,2,29-12-2015,NA
MFL India,10,1,22-12-2015,NA
Indian Terrain,10,2,21-12-2015,INDTERRAIN
SMS Pharma,10,1,17-12-2015,SMSPHARMA
Setco Auto,10,2,16-12-2015,SETCO
Citizen Yarns,10,5,16-12-2015,NA
Noble Polymers,10,5,16-12-2015,NA
Jackson Invt,10,1,15-12-2015,NA
Khoobsurat,10,1,14-12-2015,NA
J Kumar Infra,10,5,10-12-2015,JKIL
CCL Internation,2,10,04-12-2015,NA
Jamna Auto,10,5,03-12-2015,JAMNAAUTO
Sharp Invest,10,1,02-12-2015,NA
Vivid Global,10,5,02-12-2015,NA
Vitan Agro,10,1,26-11-2015,NA
Rander Corp,1,10,26-11-2015,NA
Natco Pharma,10,2,26-11-2015,NATCOPHARM
Avanti Feeds,10,2,26-11-2015,AVANTIFEED
Assoc Stone,5,1,26-11-2015,ASOCSTONE
Shilpa,2,1,06-11-2015,SHILPAMED
Infronics Syst,5,10,05-11-2015,NA
Mahalaxmi Rub,1,10,05-11-2015,NA
Inceptum Ent,1,10,03-11-2015,NA
Mahavir Ind,10,5,02-11-2015,NA
Diligent Ind,10,5,30-10-2015,NA
Kesar Petro,10,1,30-10-2015,NA
Negotium Int,1,10,29-10-2015,NA
Quasar India,10,1,12-02-2015,NA
Sarla Performan,10,1,29-10-2015,SARLAPOLY
Mudunuru,10,2,15-10-2015,NA
Oripro,10,2,15-10-2015,NA
Lambodhara Text,10,5,15-10-2015,LAMBODHARA
Bata India,10,5,07-10-2015,BATAINDIA
Cadila Health,5,1,06-10-2015,CADILAHC
Toyam Ind,10,1,05-10-2015,NA
Alankit,10,2,23-09-2015,ALANKIT
Samtex Fashions,10,2,22-09-2015,NA
Aegis Logistics,10,1,16-09-2015,AEGISCHEM
Urja Global,10,1,16-09-2015,URJA
Kushal,10,2,03-09-2015,NA
ITD Cementation,10,1,21-08-2015,ITDCEM
Signet Ind,10,1,17-08-2015,SIGIND
Kausambi Vanij,10,1,14-08-2015,NA
High Ground Ent,10,1,16-07-2015,HIGHGROUND
Birdhi Chand,10,1,02-07-2015,NA
JMT Auto,10,2,25-06-2015,JMTAUTOLTD
ASIS Logistics,100,1,12-06-2015,NA
Fineotex Chem,10,2,11-06-2015,FCL
Sunstar Realty,10,1,04-06-2015,NA
Elpro Int,10,2,04-06-2015,ELPROINTL
Rollatainers,10,2,04-06-2015,ROLLT
Kkalpana Ind,10,2,21-05-2015,NA
Shri Mahalaxmi,10,5,18-05-2015,NA
Rasi Electrodes,10,2,11-05-2015,NA
Indag Rubber,10,2,23-04-2015,NA
Titagarh Wagons,10,2,23-04-2015,TWL
Arnold Holdings,10,2,16-04-2015,NA
Pitti Engineeri,10,5,16-04-2015,PITTIENG
Menon Bearings,5,1,09-04-2015,MENONBE
KSS,10,1,30-03-2015,KSERASERA
Millennium,10,1,30-03-2015,NA
Rajlaxmi Ind,10,1,27-03-2015,NA
Kansai Nerolac,10,1,26-03-2015,KANSAINER
Panafic Ind,10,1,25-03-2015,NA
Granules India,10,1,23-03-2015,GRANULES
Ajanta Pharma,5,2,20-03-2015,AJANTPHARM
Tech Mahindra,10,5,19-03-2015,TECHM
Monotype India ,10,1,16-03-2015,NA
Aplaya Creation,10,1,11-03-2015,NA
Channel Nine,10,1,02-03-2015,NA
Amines Plast,10,2,27-02-2015,NA
Hikal,10,2,27-02-2015,HIKAL
Grandma Trading,10,1,26-02-2015,NA
Bala Techno,10,1,25-02-2015,NA
HPC Bio,10,1,20-02-2015,NA
Zyden Gentec,10,2,18-02-2015,NA
Yamini Invt,10,1,18-02-2015,NA
Esteem Bio,10,1,11-02-2015,NA
Him Fibres,10,1,09-02-2015,NA
Poly Medicure,10,5,02-02-2015,POLYMED
Tata Coffee,10,1,23-01-2015,TATACOFFEE
Corporation Bk,10,2,22-01-2015,CORPBANK
Bank of Baroda,10,2,22-01-2015,BANKBARODA
RS Software,10,5,21-01-2015,RSSOFTWARE
Berger Paints,2,1,08-01-2015,BERGEPAINT
Eco Friendly,10,1,08-01-2015,NA
Hathway Cable,10,2,06-01-2015,HATHWAY
Minda Corp,10,2,05-01-2015,MINDACORP
Gulshan Poly,5,1,27-12-2016,GULPOLY
Shree Global,5,1,21-12-2016,NA
TTI Enterprise,2,10,21-12-2016,NA
Alankit,2,1,15-12-2016,ALANKIT
KNR Construct,10,2,13-12-2016,KNRCON
Chandni Textile,1,10,08-12-2016,NA
Satkar Finlease,10,1,08-12-2016,NA
Sunil HitechEng,10,1,01-12-2016,SUNILHITEC
KPR Mill,10,5,29-11-2016,KPRMILL
