Company Name,old_fv,new_fv,date,code
Panacea Biotec,10,1,03-02-2003,PANACEABIO
Khyati Multimed,10,1,03-02-2003,NA
Sat Ind,10,2,27-01-2003,NA
Venus Universal,10,3,23-01-2003,NA
Mafatlal Ind,100,10,22-01-2003,MAFATLAIND
Sunitee Chem,10,1,13-01-2003,NA
Sun Pharma,10,5,13-01-2003,SUNPHARMA
Piramal Enter,10,2,27-12-2004,PEL
Marsons,10,2,24-12-2004,NA
SPML Infra,10,2,19-11-2004,SPMLINFRA
Venlon Polyeste,10,5,27-10-2004,VENLONPOLY
Patel Eng,5,1,25-10-2004,PATELENG
Amtek Auto,10,2,05-10-2004,AMTEKAUTO
Perfect Circle,8,1,23-09-2004,NA
JTEKT India ,10,2,24-08-2004,JTEKTINDIA
Berger Paints,10,2,24-08-2004,BERGEPAINT
Indian Hume,100,10,24-08-2004,INDIANHUME
Carborundum,10,2,16-08-2004,CARBORUNIV
Adani Enterpris,10,1,28-07-2004,ADANIENT
Shanthi Gears,10,1,27-07-2004,SHANTIGEAR
JagsonpalPharma,10,5,20-07-2004,JAGSNPHARM
Bosch,100,10,08-07-2004,BOSCHLTD
Ashok Leyland,10,1,28-06-2004,ASHOKLEY
Cipla,10,2,11-05-2004,CIPLA
Bajaj Hindustha,10,1,28-04-2004,BAJAJHIND
Wockhardt,10,5,28-04-2004,WOCKPHARMA
Radaan Media,10,2,08-04-2004,RADAAN
Addi Industries,10,5,06-04-2004,NA
Hazoor,2,4,23-03-2004,NA
Motherson Sumi,5,1,16-03-2004,MOTHERSUMI
Unichem Labs,10,5,16-03-2004,UNICHEMLAB
Suprajit Eng,10,5,16-03-2004,SUPRAJIT
Jindal Stainles,10,2,01-03-2004,JSL
Emami,10,2,16-02-2004,EMAMILTD
Bhansali Eng,10,1,16-02-2004,BEPL
HSIL,10,5,10-02-2004,HSIL
Sundram,10,1,27-01-2004,SUNDRMFAST
Aftek,10,2,20-01-2004,AFTEK
Suven Life Sci,10,2,15-01-2004,SUVEN
Sri Adhikari,10,2,30-12-2005,SABTN
Gabriel India,10,1,30-12-2005,GABRIEL
HSIL,5,2,30-12-2005,HSIL
Smiths & Found,10,1,27-12-2005,NA
Protochem,10,1,23-12-2005,NA
G-Tech Info,10,1,21-12-2005,NA
Sheetal Sec,10,1,19-12-2005,NA
Phoenix Mills,100,10,09-12-2005,PHOENIXLTD
Madhucon Proj,10,2,02-12-2005,MADHUCON
Ventura Text,10,1,02-12-2005,NA
Bellary Steel,10,1,02-12-2005,BELLARYSTL
Vertex Spinning,10,1,11-11-2005,NA
Sundaram Multi,10,1,09-11-2005,SUNDARAM
Vidhi Spec,10,1,08-11-2005,VIDHIING
Hind Constr,10,1,08-11-2005,HCC
Kitex Garments,10,1,07-11-2005,KITEX
DMC Education,10,5,07-11-2005,NA
Cranes Software,10,2,02-11-2005,CRANESSOFT
Nandan Denim,10,1,02-11-2005,NDL
Jaipan Inds,10,1,02-11-2005,NA
Linkhouse Ind,10,1,02-11-2005,NA
Rujul Finance,10,2,31-10-2005,NA
Gopala Poly,10,5,31-10-2005,NA
Zenith Health,10,1,28-10-2005,NA
Assam Company,10,1,28-10-2005,ASSAMCO
Divine Multi,10,1,27-10-2005,NA
Globus Corp,10,2,27-10-2005,KARUNACAB
Dalmia Sugar,10,2,27-10-2005,DALMIASUG
Jayant Mercanti,10,1,27-10-2005,NA
CHD Developers,10,2,26-10-2005,NA
Sterling Webnet,10,1,26-10-2005,NA
BAMPSL Sec,10,1,26-10-2005,NA
Paras Petro,10,1,26-10-2005,PARASPETRO
Indo Pacific,10,1,26-10-2005,NA
Sterling Intl,10,1,26-10-2005,NA
Alchemist,10,1,26-10-2005,ALCHEM
ISF,10,1,24-10-2005,NA
ConfidencePetro,10,1,24-10-2005,CONFIPET
Gangotri Textil,10,5,24-10-2005,GANGOTRI
Dishman Pharma,10,2,21-10-2005,DPC02
Swasti Vinayaka,10,1,21-10-2005,NA
Bisil Plast,10,1,20-10-2005,NA
Kajaria Ceramic,10,2,19-10-2005,KAJARIACER
Luminaire Tech,10,1,18-10-2005,STRAUSIND
Ontrack Systems,10,1,14-10-2005,NA
Himatsingka Sei,10,5,14-10-2005,HIMATSEIDE
GFL,10,2,10-10-2005,GFLLIMITED
Ultramarine,10,2,10-10-2005,ULTRMARINE
